"page_number","taxon"
"405","Brown Pelican"
"406","American Bittern"
"407","Great Blue Heron"
"408","Great Blue Heron (Blue form)"
"409","Great Egret"
"410","Snowy Egret"
"411","Little Blue Heron"
"412","Cattle Egret"
"413","Cattle Egret (Western)"
"414","Green Heron"
"415","Black-crowned Night-Heron"
"416","Yellow-crowned Night-Heron"
"417","White Ibis"
"418","Glossy Ibis"
"419","White-faced Ibis"
"420","Glossy/White-faced Ibis"
"421","Turkey Vulture"
"422","Osprey"
"423","Osprey (carolinensis)"
"424","White-tailed Kite"
"425","Golden Eagle"
"426","Northern Harrier"
"427","Sharp-shinned Hawk"
"428","Sharp-shinned Hawk (Northern)"
"429","Cooper's Hawk"
"430","Sharp-shinned/Cooper's Hawk"
"431","Northern Goshawk"
"432","Cooper's Hawk/Northern Goshawk"
"433","Accipiter sp."
"434","Bald Eagle"
"435","Golden/Bald Eagle"
"436","Red-shouldered Hawk"
"437","Red-shouldered Hawk (elegans)"
"438","Broad-winged Hawk"
"439","Swainson's Hawk"
"440","Zone-tailed Hawk"
"441","Red-tailed Hawk"
"442","Red-tailed Hawk (calurus/alascensis)"
"443","Red-tailed Hawk (Harlan's)"
"444","Rough-legged Hawk"
"445","Ferruginous Hawk"
"446","Buteo sp."
"447","hawk sp."
"448","eagle sp."
"449","Barn Owl"
"450","Barn Owl (American)"
"451","Flammulated Owl"
"452","Western Screech-Owl"
"453","Great Horned Owl"
"454","Great Horned Owl (Great Horned)"
"455","Snowy Owl"
"456","Northern Hawk Owl"
"457","Northern Pygmy-Owl"
"458","Northern Pygmy-Owl (Pacific)"
"459","Burrowing Owl"
"460","Spotted Owl"
"461","Barred Owl"
"462","Barred Owl (Northern)"
"463","Spotted x Barred Owl (hybrid)"
"464","Great Gray Owl"
"465","Long-eared Owl"
"466","Short-eared Owl"
"467","Short-eared Owl (Northern)"
"468","Long-eared/Short-eared Owl"
"469","Boreal Owl"
"470","Northern Saw-whet Owl"
"471","owl sp."
"472","Belted Kingfisher"
"473","Williamson's Sapsucker"
"474","Yellow-bellied Sapsucker"
"475","Red-naped Sapsucker"
"476","Yellow-bellied x Red-naped Sapsucker (hybrid)"
"477","Yellow-bellied/Red-naped Sapsucker"
"478","Red-breasted Sapsucker"
"479","Red-naped x Red-breasted Sapsucker (hybrid)"
"480","Red-naped/Red-breasted Sapsucker"
"481","sapsucker sp."
"482","Lewis's Woodpecker"
"483","Acorn Woodpecker"
"484","American Three-toed Woodpecker"
"485","American Three-toed Woodpecker (Northwest)"
"486","Black-backed Woodpecker"
"487","Downy Woodpecker"
"488","Downy Woodpecker (Rocky Mts.)"
"489","Downy Woodpecker (Pacific)"
"490","Hairy Woodpecker"
"491","Hairy Woodpecker (Pacific)"
"492","Hairy Woodpecker (Rocky Mts.)"
"493","Downy/Hairy Woodpecker"
"494","White-headed Woodpecker"
"495","Pileated Woodpecker"
"496","Northern Flicker"
"497","Northern Flicker (Yellow-shafted)"
"498","Northern Flicker (Red-shafted)"
"499","Northern Flicker (intergrade)"
"500","woodpecker sp."
"501","Crested Caracara"
"502","Eurasian Kestrel"
"503","American Kestrel"
"504","Merlin"
"505","Merlin (Taiga)"
"506","Merlin (Prairie)"
"507","Merlin (Black)"
"508","Eurasian Hobby"
"509","Gyrfalcon"
"510","Peregrine Falcon"
"511","Peregrine Falcon (North American)"
"512","Peregrine Falcon (Tundra)"
"513","Peregrine Falcon (Peale's)"
"514","Prairie Falcon"
"515","small falcon sp."
"516","falcon sp."
"517","diurnal raptor sp."
"518","Monk Parakeet"
"519","Monk Parakeet (Monk)"
"520","Mitred Parakeet"
"521","Olive-sided Flycatcher"
"522","Greater Pewee"
"523","Western Wood-Pewee"
"524","Eastern Wood-Pewee"
"525","Yellow-bellied Flycatcher"
"526","Alder Flycatcher"
"527","Willow Flycatcher"
"528","Least Flycatcher"
"529","Hammond's Flycatcher"
"530","Gray Flycatcher"
"531","Dusky Flycatcher"
"532","Hammond's/Dusky Flycatcher"
"533","Pacific-slope Flycatcher"
"534","Cordilleran Flycatcher"
"535","Pacific-slope/Cordilleran Flycatcher (Western Flycatcher)"
"536","Empidonax sp."
"537","Black Phoebe"
"538","Black Phoebe (Northern)"
"539","Eastern Phoebe"
"540","Say's Phoebe"
"541","Vermilion Flycatcher"
"542","Dusky-capped Flycatcher"
"543","Ash-throated Flycatcher"
"544","Variegated Flycatcher"
"545","Tropical Kingbird"
"546","Western Kingbird"
"547","Eastern Kingbird"
"548","Scissor-tailed Flycatcher"
"549","Fork-tailed Flycatcher"
"550","flycatcher sp. (Tyrannidae sp.)"
"551","Loggerhead Shrike"
"552","Northern Shrike"
"553","Loggerhead/Northern Shrike"
"554","Bell's Vireo"
"555","Hutton's Vireo"
"556","Yellow-throated Vireo"
"557","Cassin's Vireo"
"558","Blue-headed Vireo"
"559","Philadelphia Vireo"
"560","Warbling Vireo"
"561","Warbling Vireo (Western)"
"562","Red-eyed Vireo"
"563","vireo sp."
"564","Canada Jay"
"565","Canada Jay (Northern)"
"566","Canada Jay (Rocky Mts.)"
"567","Canada Jay (Pacific)"
"568","Pinyon Jay"
"569","Steller's Jay"
"570","Steller's Jay (Coastal)"
"571","Steller's Jay (Interior)"
"572","Blue Jay"
"573","California Scrub-Jay"
"574","Woodhouse's Scrub-Jay"
"575","Black-billed Magpie"
"576","Clark's Nutcracker"
"577","American Crow"
"578","Northwestern Crow"
"579","American/Northwestern Crow"
"580","Common Raven"
"581","crow/raven sp."
"582","Horned Lark"
"583","Horned Lark (Western pale Group)"
"584","Horned Lark (Western rufous Group)"
"585","Eurasian Skylark"
"586","Northern Rough-winged Swallow"
"587","Purple Martin"
"588","Tree Swallow"
"589","Violet-green Swallow"
"590","Northern Rough-winged x Violet-green Swallow (hybrid)"
"591","Tree x Violet-green Swallow (hybrid)"
"592","Tree/Violet-green Swallow"
"593","Bank Swallow"
"594","Barn Swallow"
"595","Barn Swallow (American)"
